workload,Channel,interface,PRAC_WO_Mitigation-ClosedCap4,Benchmark_Types
MIX51,1.0,8800.0,0.8687763267354394,HHMM (15)
MIX51,1.0,12800.0,0.8463177956076883,HHMM (15)
MIX51,1.0,17600.0,0.8524745566042284,HHMM (15)
MIX52,1.0,3200.0,0.9778023684207606,HHMM (15)
MIX52,1.0,6400.0,0.9116098811823944,HHMM (15)
MIX52,1.0,8800.0,0.8659408466761296,HHMM (15)
MIX52,1.0,12800.0,0.8407975561373834,HHMM (15)
MIX52,1.0,17600.0,0.8390237559711551,HHMM (15)
MIX53,1.0,3200.0,0.9414376364134031,HHMM (15)
MIX53,1.0,6400.0,0.8943026530082626,HHMM (15)
MIX53,1.0,8800.0,0.884670146903951,HHMM (15)
MIX53,1.0,12800.0,0.8794747274227571,HHMM (15)
MIX53,1.0,17600.0,0.8759329242849472,HHMM (15)
MIX54,1.0,3200.0,0.946384293366427,HHMM (15)
MIX54,1.0,6400.0,0.881346408311885,HHMM (15)
MIX54,1.0,8800.0,0.867320475306134,HHMM (15)
MIX54,1.0,12800.0,0.8633360378075445,HHMM (15)
MIX54,1.0,17600.0,0.8630089499885267,HHMM (15)
MIX55,1.0,3200.0,0.9674955917926387,HHMM (15)
MIX55,1.0,6400.0,0.8777942937982677,HHMM (15)
MIX55,1.0,8800.0,0.8508699184250089,HHMM (15)
MIX55,1.0,12800.0,0.8496315274339713,HHMM (15)
MIX55,1.0,17600.0,0.8461554550453084,HHMM (15)
MIX56,1.0,3200.0,0.9807960480143147,HHMM (15)
MIX56,1.0,6400.0,0.9332970271649206,HHMM (15)
MIX56,1.0,8800.0,0.9082686705053132,HHMM (15)
MIX56,1.0,12800.0,0.8931863943109686,HHMM (15)
MIX56,1.0,17600.0,0.8953430330738531,HHMM (15)
MIX57,1.0,3200.0,0.9585803922447758,HHMM (15)
MIX57,1.0,6400.0,0.8829835275842252,HHMM (15)
MIX57,1.0,8800.0,0.8635536743811273,HHMM (15)
MIX57,1.0,12800.0,0.856863808277375,HHMM (15)
MIX57,1.0,17600.0,0.8548689084828135,HHMM (15)
MIX59,1.0,3200.0,0.957317029425933,HHMM (15)
MIX59,1.0,6400.0,0.8938319064193694,HHMM (15)
MIX59,1.0,8800.0,0.8783738983805096,HHMM (15)
MIX59,1.0,12800.0,0.8735100795915578,HHMM (15)
MIX59,1.0,17600.0,0.8714157320690062,HHMM (15)
MIX6,1.0,3200.0,0.9663826673224177,HHHH (15)
MIX6,1.0,6400.0,0.8859982276811927,HHHH (15)
MIX6,1.0,8800.0,0.8548950978620914,HHHH (15)
MIX6,1.0,12800.0,0.8511385301889016,HHHH (15)
MIX6,1.0,17600.0,0.8464045849769206,HHHH (15)
MIX60,1.0,3200.0,0.9643701396825083,HHLL (15)
MIX60,1.0,6400.0,0.9318110224106061,HHLL (15)
MIX60,1.0,8800.0,0.92385101387472,HHLL (15)
MIX60,1.0,12800.0,0.9203263824912196,HHLL (15)
MIX60,1.0,17600.0,0.9188453699489447,HHLL (15)
MIX61,1.0,3200.0,0.9755466425011433,HHLL (15)
MIX61,1.0,6400.0,0.9489368801118013,HHLL (15)
MIX61,1.0,8800.0,0.9463024330273877,HHLL (15)
MIX61,1.0,12800.0,0.9458724033923358,HHLL (15)
MIX61,1.0,17600.0,0.9434490805508803,HHLL (15)
MIX62,1.0,3200.0,0.9528954026556177,HHLL (15)
MIX62,1.0,6400.0,0.91437540233064,HHLL (15)
MIX62,1.0,8800.0,0.9094383641997679,HHLL (15)
MIX62,1.0,12800.0,0.9052170900583929,HHLL (15)
MIX62,1.0,17600.0,0.9045593345325085,HHLL (15)
MIX63,1.0,3200.0,0.9738622033457753,HHLL (15)
MIX63,1.0,6400.0,0.9511381341796773,HHLL (15)
MIX63,1.0,8800.0,0.9465789794150236,HHLL (15)
MIX63,1.0,12800.0,0.9442062794683787,HHLL (15)
MIX63,1.0,17600.0,0.9461512338722304,HHLL (15)
MIX64,1.0,3200.0,0.9606318944328798,HHLL (15)
MIX64,1.0,6400.0,0.9432304165719706,HHLL (15)
MIX64,1.0,8800.0,0.9438580124782372,HHLL (15)
MIX64,1.0,12800.0,0.9399668966400461,HHLL (15)
MIX64,1.0,17600.0,0.9411913815667535,HHLL (15)
MIX65,1.0,3200.0,0.9738107004760419,HHLL (15)
MIX65,1.0,6400.0,0.9530998368407054,HHLL (15)
MIX65,1.0,8800.0,0.9501900061927292,HHLL (15)
MIX65,1.0,12800.0,0.9474837071340486,HHLL (15)
MIX65,1.0,17600.0,0.9473494423117038,HHLL (15)
MIX66,1.0,3200.0,0.9724375150518142,HHLL (15)
MIX66,1.0,6400.0,0.9447469777652925,HHLL (15)
MIX66,1.0,8800.0,0.9355209760327843,HHLL (15)
MIX66,1.0,12800.0,0.9340566444359079,HHLL (15)
MIX66,1.0,17600.0,0.9327644678302379,HHLL (15)
MIX67,1.0,3200.0,0.9391430691196825,HHLL (15)
MIX67,1.0,6400.0,0.8946620306470561,HHLL (15)
MIX67,1.0,8800.0,0.8934671064154303,HHLL (15)
MIX67,1.0,12800.0,0.8894573013436486,HHLL (15)
MIX67,1.0,17600.0,0.8918768113993327,HHLL (15)
MIX68,1.0,3200.0,0.9875582251131152,HHLL (15)
MIX68,1.0,6400.0,0.9618836259315473,HHLL (15)
MIX68,1.0,8800.0,0.9551325998736889,HHLL (15)
MIX68,1.0,12800.0,0.9528536009780998,HHLL (15)
MIX68,1.0,17600.0,0.9508390156830832,HHLL (15)
MIX69,1.0,3200.0,0.9494811064142927,HHLL (15)
MIX69,1.0,6400.0,0.9346674976655966,HHLL (15)
MIX69,1.0,8800.0,0.9407617788959154,HHLL (15)
MIX69,1.0,12800.0,0.9330978948043851,HHLL (15)
MIX69,1.0,17600.0,0.9390871672912451,HHLL (15)
MIX7,1.0,3200.0,0.976671148863939,HHHH (15)
MIX7,1.0,6400.0,0.9105222187710471,HHHH (15)
MIX7,1.0,8800.0,0.8615989053109966,HHHH (15)
MIX7,1.0,12800.0,0.8349553293498121,HHHH (15)
MIX7,1.0,17600.0,0.8277015827909221,HHHH (15)
MIX70,1.0,3200.0,0.9849279695255658,HHLL (15)
MIX70,1.0,6400.0,0.9630842622953993,HHLL (15)
MIX70,1.0,8800.0,0.9507124175738753,HHLL (15)
MIX70,1.0,12800.0,0.9459276153092322,HHLL (15)
MIX70,1.0,17600.0,0.9436766905333667,HHLL (15)
MIX71,1.0,3200.0,0.9830377399880597,HHLL (15)
MIX71,1.0,6400.0,0.9562420911014451,HHLL (15)
MIX71,1.0,8800.0,0.9448141081652474,HHLL (15)
MIX71,1.0,12800.0,0.9415890152842088,HHLL (15)
MIX71,1.0,17600.0,0.9404118364271037,HHLL (15)
MIX72,1.0,3200.0,0.9789631226891037,HHLL (15)
MIX72,1.0,6400.0,0.9385219493456609,HHLL (15)
MIX72,1.0,8800.0,0.9321638923154326,HHLL (15)
MIX72,1.0,12800.0,0.9300287568604134,HHLL (15)
MIX72,1.0,17600.0,0.9263289145449441,HHLL (15)
MIX73,1.0,3200.0,0.9614573222580531,HHLL (15)
MIX73,1.0,6400.0,0.928857910541341,HHLL (15)
MIX73,1.0,8800.0,0.9299723185713897,HHLL (15)
MIX73,1.0,12800.0,0.9205445915706936,HHLL (15)
MIX73,1.0,17600.0,0.9217345278180729,HHLL (15)
MIX74,1.0,3200.0,0.9790138213445913,HHLL (15)
MIX74,1.0,6400.0,0.9463916835068152,HHLL (15)
MIX74,1.0,8800.0,0.9393456549315744,HHLL (15)
MIX74,1.0,12800.0,0.9393651866457203,HHLL (15)
MIX74,1.0,17600.0,0.9372871984043465,HHLL (15)
MIX75,1.0,3200.0,0.9592437966141516,MMLL (15)
MIX75,1.0,6400.0,0.9466165636946542,MMLL (15)
MIX75,1.0,8800.0,0.9429661009336461,MMLL (15)
MIX75,1.0,12800.0,0.9420604147422785,MMLL (15)
MIX75,1.0,17600.0,0.9415786191757755,MMLL (15)
MIX76,1.0,3200.0,0.961382622776733,MMLL (15)
MIX76,1.0,6400.0,0.9429988392066985,MMLL (15)
MIX76,1.0,8800.0,0.9374512950477195,MMLL (15)
MIX76,1.0,12800.0,0.9360864396652061,MMLL (15)
MIX76,1.0,17600.0,0.9359625831191004,MMLL (15)
MIX77,1.0,3200.0,0.966999903547938,MMLL (15)
MIX77,1.0,6400.0,0.9525063107285852,MMLL (15)
MIX77,1.0,8800.0,0.941210765044064,MMLL (15)
MIX77,1.0,12800.0,0.9457401434641289,MMLL (15)
MIX77,1.0,17600.0,0.9478775995488345,MMLL (15)
MIX78,1.0,3200.0,0.9749369987065251,MMLL (15)
MIX78,1.0,6400.0,0.9515632872143438,MMLL (15)
MIX78,1.0,8800.0,0.9447586219717715,MMLL (15)
MIX78,1.0,12800.0,0.9582186638837661,MMLL (15)
MIX78,1.0,17600.0,0.9513447864330138,MMLL (15)
MIX79,1.0,3200.0,0.9684209259491122,MMLL (15)
MIX79,1.0,6400.0,0.9572521227006496,MMLL (15)
MIX79,1.0,8800.0,0.9559173198335466,MMLL (15)
MIX79,1.0,12800.0,0.9557943573186195,MMLL (15)
MIX79,1.0,17600.0,0.953618441112017,MMLL (15)
MIX8,1.0,3200.0,0.9781062688100083,HHHH (15)
MIX8,1.0,6400.0,0.8869103798030016,HHHH (15)
MIX8,1.0,8800.0,0.8511627617502869,HHHH (15)
MIX8,1.0,12800.0,0.8406786882317041,HHHH (15)
MIX8,1.0,17600.0,0.8374851429462381,HHHH (15)
MIX80,1.0,3200.0,0.9635423572205616,MMLL (15)
MIX80,1.0,6400.0,0.9521387604927988,MMLL (15)
MIX80,1.0,8800.0,0.9517125842613687,MMLL (15)
MIX80,1.0,12800.0,0.9504812919197618,MMLL (15)
MIX80,1.0,17600.0,0.9504568808935807,MMLL (15)
MIX81,1.0,3200.0,0.9441104117009054,MMLL (15)
MIX81,1.0,6400.0,0.9270299368236748,MMLL (15)
MIX81,1.0,8800.0,0.9246948443026038,MMLL (15)
MIX81,1.0,12800.0,0.923398000434489,MMLL (15)
MIX81,1.0,17600.0,0.9219736743641651,MMLL (15)
MIX82,1.0,3200.0,0.9704941212273623,MMLL (15)
MIX82,1.0,6400.0,0.9616510742173577,MMLL (15)
MIX82,1.0,8800.0,0.9601748960545038,MMLL (15)
MIX82,1.0,12800.0,0.9615806959049776,MMLL (15)
MIX82,1.0,17600.0,0.9609052940504635,MMLL (15)
MIX83,1.0,3200.0,0.922855642656352,MMLL (15)
MIX83,1.0,6400.0,0.8903438348872385,MMLL (15)
MIX83,1.0,8800.0,0.886734416517091,MMLL (15)
MIX83,1.0,12800.0,0.8832682731371225,MMLL (15)
MIX83,1.0,17600.0,0.881742481438363,MMLL (15)
MIX84,1.0,3200.0,0.9228761314176157,MMLL (15)
MIX84,1.0,6400.0,0.9002758010125759,MMLL (15)
MIX84,1.0,8800.0,0.896783940207851,MMLL (15)
MIX84,1.0,12800.0,0.8944125364726032,MMLL (15)
MIX84,1.0,17600.0,0.891877878611982,MMLL (15)
MIX85,1.0,3200.0,0.9556867047638526,MMLL (15)
MIX85,1.0,6400.0,0.932590791346571,MMLL (15)
MIX85,1.0,8800.0,0.9274132757301881,MMLL (15)
MIX85,1.0,12800.0,0.9263728446203786,MMLL (15)
MIX85,1.0,17600.0,0.9239815322370019,MMLL (15)
MIX86,1.0,3200.0,0.9681669407777193,MMLL (15)
MIX86,1.0,6400.0,0.9412724217172095,MMLL (15)
MIX86,1.0,8800.0,0.946069311262002,MMLL (15)
MIX86,1.0,12800.0,0.9401263913779806,MMLL (15)
MIX86,1.0,17600.0,0.9462050886398495,MMLL (15)
MIX87,1.0,3200.0,0.9551822642326083,MMLL (15)
MIX87,1.0,6400.0,0.9493414017854253,MMLL (15)
MIX87,1.0,8800.0,0.9492889452357193,MMLL (15)
MIX87,1.0,12800.0,0.9606109905380235,MMLL (15)
MIX87,1.0,17600.0,0.9573285146453829,MMLL (15)
MIX88,1.0,3200.0,0.9660154354236429,MMLL (15)
MIX88,1.0,6400.0,0.9424939494299214,MMLL (15)
MIX88,1.0,8800.0,0.9375798533720502,MMLL (15)
MIX88,1.0,12800.0,0.937680210644934,MMLL (15)
MIX88,1.0,17600.0,0.9384565440769097,MMLL (15)
MIX89,1.0,3200.0,0.9426133934360017,MMLL (15)
MIX89,1.0,6400.0,0.9427411349065322,MMLL (15)
MIX89,1.0,8800.0,0.915029267878267,MMLL (15)
MIX89,1.0,12800.0,0.9228730312208541,MMLL (15)
MIX89,1.0,17600.0,0.9144174296173487,MMLL (15)
MIX9,1.0,3200.0,0.9721883799283346,HHHH (15)
MIX9,1.0,6400.0,0.8837857650823764,HHHH (15)
MIX9,1.0,8800.0,0.867989663347896,HHHH (15)
MIX9,1.0,12800.0,0.8575149546194709,HHHH (15)
MIX9,1.0,17600.0,0.8522919307012449,HHHH (15)
HHHH (15),1.0,3200.0,0.9696840095858821,
MMMM (15),1.0,3200.0,0.9499131679820143,
LLLL (15),1.0,3200.0,0.9818697417774469,
HHMM (15),1.0,3200.0,0.9678899627108218,
HHLL (15),1.0,3200.0,0.9690463733814332,
MMLL (15),1.0,3200.0,0.9560377803440037,
HHHH (15),1.0,6400.0,0.8926001920691359,
MMMM (15),1.0,6400.0,0.9020321156821343,
LLLL (15),1.0,6400.0,0.9803148394879152,
HHMM (15),1.0,6400.0,0.8995953159684822,
HHLL (15),1.0,6400.0,0.9406095065019648,
MMLL (15),1.0,6400.0,0.9391842336018152,
HHHH (15),1.0,8800.0,0.8579428011565696,
MMMM (15),1.0,8800.0,0.888511511098894,
LLLL (15),1.0,8800.0,0.9806672242813914,
HHMM (15),1.0,8800.0,0.8745138178350262,
HHLL (15),1.0,8800.0,0.9360000162396117,
MMLL (15),1.0,8800.0,0.9342930531273997,
HHHH (15),1.0,12800.0,0.842910950736526,
MMMM (15),1.0,12800.0,0.8830884705378131,
LLLL (15),1.0,12800.0,0.979688864665167,
HHMM (15),1.0,12800.0,0.8625568236717651,
HHLL (15),1.0,12800.0,0.9325132298541128,
MMLL (15),1.0,12800.0,0.935644162516209,
HHHH (15),1.0,17600.0,0.837904400581812,
MMMM (15),1.0,17600.0,0.8833526723513924,
LLLL (15),1.0,17600.0,0.9793782217378446,
HHMM (15),1.0,17600.0,0.8610898675925062,
HHLL (15),1.0,17600.0,0.9322264772119446,
MMLL (15),1.0,17600.0,0.9342328239247608,
All (57),1.0,3200.0,0.9656620813318978,
All (57),1.0,6400.0,0.9254870557060866,
All (57),1.0,8800.0,0.9114127088972221,
All (57),1.0,12800.0,0.9052948006252005,
All (57),1.0,17600.0,0.9038645094393418,
