workload,Channel,interface,Normalized_PRAC_WO_Mitigation,Normalized_PRAC_WO_Mitigation-ClosedCap4
401.bzip2,1.0,3200.0,0.9778161019260453,0.9778306928020382
401.bzip2,1.0,4800.0,0.9746074201757455,0.9753032635977412
401.bzip2,1.0,6400.0,0.9725359258902004,0.973856600051353
401.bzip2,1.0,8000.0,0.9730426524730041,0.9736992546394521
401.bzip2,1.0,8800.0,0.9742399641971616,0.9748025018148604
401.bzip2,1.0,12800.0,0.9738513196943501,0.9750574765179881
401.bzip2,1.0,17600.0,0.9720479452228175,0.9733583665195424
401.bzip2,2.0,8000.0,0.9813782152539662,0.9819656634780259
401.bzip2,2.0,8800.0,0.9808191582330227,0.981540073423515
401.bzip2,4.0,8000.0,0.9854338558684411,0.9862586370999546
401.bzip2,4.0,8800.0,0.9851309959128755,0.9851420197681294
401.bzip2,8.0,8000.0,0.9884442588100477,0.9887429450768469
401.bzip2,8.0,8800.0,0.9884315123870749,0.9882159772120765
401.bzip2,16.0,8000.0,0.9924938792670918,0.9922530186925018
401.bzip2,16.0,8800.0,0.9922459005704295,0.9919194427121035
403.gcc,1.0,3200.0,0.9963531170048551,0.9963531170048551
403.gcc,1.0,4800.0,0.9962139876253262,0.9962139876253262
403.gcc,1.0,6400.0,0.9957846378171763,0.9957846378171763
403.gcc,1.0,8000.0,0.995666133611528,0.995666133611528
403.gcc,1.0,8800.0,0.9953538884355948,0.9953538884355948
403.gcc,1.0,12800.0,0.996310540353107,0.996310540353107
403.gcc,1.0,17600.0,0.9963939161887454,0.9963939161887454
403.gcc,2.0,8000.0,0.9972471551848747,0.9972471551848747
403.gcc,2.0,8800.0,0.9968168881294668,0.9968168881294668
403.gcc,4.0,8000.0,0.9976171122402319,0.9976171122402319
403.gcc,4.0,8800.0,0.9969142053167231,0.9969142053167231
403.gcc,8.0,8000.0,0.9986619998372394,0.9986619998372394
403.gcc,8.0,8800.0,0.9979751759792084,0.9979751759792084
403.gcc,16.0,8000.0,0.9987807013263517,0.9987807013263517
403.gcc,16.0,8800.0,0.9978268808498203,0.9978268808498203
429.mcf,1.0,3200.0,0.9280726550699692,0.928195384780416
429.mcf,1.0,4800.0,0.8356790818737315,0.8381241675177799
429.mcf,1.0,6400.0,0.8168551927751646,0.8190203935724696
429.mcf,1.0,8000.0,0.8076858483784062,0.8100048408622512
429.mcf,1.0,8800.0,0.8063799449944726,0.8085121617396906
429.mcf,1.0,12800.0,0.7992425227668323,0.8015793962040106
429.mcf,1.0,17600.0,0.7935073013145265,0.7959805959785387
429.mcf,2.0,8000.0,0.8171202570346878,0.8192340551175844
429.mcf,2.0,8800.0,0.8178294563772747,0.8200404655897016
429.mcf,4.0,8000.0,0.8480833369743332,0.8499366842029754
429.mcf,4.0,8800.0,0.8491021153305865,0.8509689291958683
429.mcf,8.0,8000.0,0.8750864893541208,0.8764718632451318
429.mcf,8.0,8800.0,0.8764976302529246,0.8779786272023602
429.mcf,16.0,8000.0,0.898614054104206,0.8997519663234684
429.mcf,16.0,8800.0,0.899751764089668,0.9008601784178535
433.milc,1.0,3200.0,0.8761522165978897,0.877368569466287
433.milc,1.0,4800.0,0.854898491518769,0.8567837324424866
433.milc,1.0,6400.0,0.8433407384026831,0.8454377304613263
433.milc,1.0,8000.0,0.8365220480216324,0.8386930587862945
433.milc,1.0,8800.0,0.8362664086228937,0.8384858077541123
433.milc,1.0,12800.0,0.831339854564172,0.834136236998727
433.milc,1.0,17600.0,0.8258587644803305,0.8285175433240133
433.milc,2.0,8000.0,0.8527736360205479,0.855708879367146
433.milc,2.0,8800.0,0.8536317585816318,0.8566183381192827
433.milc,4.0,8000.0,0.8770880185449651,0.8801688073315181
433.milc,4.0,8800.0,0.8783845851093245,0.8811761741453052
433.milc,8.0,8000.0,0.9061384718437525,0.9083048059196102
433.milc,8.0,8800.0,0.9067398162715941,0.9091850040506264
433.milc,16.0,8000.0,0.9342009673345701,0.9361184446676442
433.milc,16.0,8800.0,0.9345375087409653,0.9366237192071242
434.zeusmp,1.0,3200.0,0.8922674330223718,0.8935676431119899
434.zeusmp,1.0,4800.0,0.855741470237574,0.8568292246302486
434.zeusmp,1.0,6400.0,0.8439385089757224,0.8459201867757958
434.zeusmp,1.0,8000.0,0.8401537611763064,0.8420122308947365
434.zeusmp,1.0,8800.0,0.839391282578988,0.8414674328750834
434.zeusmp,1.0,12800.0,0.8357573059972947,0.8368772941353758
434.zeusmp,1.0,17600.0,0.8321853316060785,0.8338278237438498
434.zeusmp,2.0,8000.0,0.8581668453456499,0.8634055584863123
434.zeusmp,2.0,8800.0,0.8566336688900802,0.8603515348166589
434.zeusmp,4.0,8000.0,0.8646382730341942,0.8735288481805071
434.zeusmp,4.0,8800.0,0.863501267144624,0.8720802654584716
434.zeusmp,8.0,8000.0,0.8832311519469572,0.899089095694513
434.zeusmp,8.0,8800.0,0.8835803930983601,0.8979593746322824
434.zeusmp,16.0,8000.0,0.9158786102044438,0.9305998824513164
434.zeusmp,16.0,8800.0,0.9166124427698717,0.9316060827013684
435.gromacs,1.0,3200.0,0.9867410652209982,0.9869300166895897
435.gromacs,1.0,4800.0,0.9866266512606606,0.986915736129689
435.gromacs,1.0,6400.0,0.9865145031215695,0.986891696143775
435.gromacs,1.0,8000.0,0.9864414575849862,0.9871196762691646
435.gromacs,1.0,8800.0,0.9862468847289839,0.9869782682029701
435.gromacs,1.0,12800.0,0.9864332705328549,0.987024952677247
435.gromacs,1.0,17600.0,0.9830869579330072,0.9838794544048481
435.gromacs,2.0,8000.0,0.9919936862796365,0.9927050908158338
435.gromacs,2.0,8800.0,0.9918183467197873,0.9925282573511068
435.gromacs,4.0,8000.0,0.9948592567315288,0.9949587186196588
435.gromacs,4.0,8800.0,0.9948274963466415,0.9951342916189406
435.gromacs,8.0,8000.0,0.9962349156028286,0.9967531569654385
435.gromacs,8.0,8800.0,0.9958559987026606,0.9964329043735848
435.gromacs,16.0,8000.0,0.9973843700640015,0.9979062934010453
435.gromacs,16.0,8800.0,0.9974050838233779,0.9974946448684086
436.cactusADM,1.0,3200.0,0.9212823759758448,0.9214081981326059
436.cactusADM,1.0,4800.0,0.9044723980021634,0.9045262665833709
436.cactusADM,1.0,6400.0,0.899404186600976,0.8995617565492028
436.cactusADM,1.0,8000.0,0.8964820791521275,0.8964757221207608
436.cactusADM,1.0,8800.0,0.8971475102989123,0.8972446531841917
436.cactusADM,1.0,12800.0,0.8946302426693079,0.8945418314940963
436.cactusADM,1.0,17600.0,0.8924392871917218,0.8923695674156693
436.cactusADM,2.0,8000.0,0.9154441778857737,0.9152172074869533
436.cactusADM,2.0,8800.0,0.9157297106234729,0.9159425711100165
436.cactusADM,4.0,8000.0,0.9323814763309871,0.9328353243156033
436.cactusADM,4.0,8800.0,0.933314705748701,0.9335660962052693
436.cactusADM,8.0,8000.0,0.9535033786319478,0.9534954742450751
436.cactusADM,8.0,8800.0,0.9529617266087256,0.952944677551527
436.cactusADM,16.0,8000.0,0.967182300796524,0.9675155997132237
436.cactusADM,16.0,8800.0,0.9686446233957243,0.9693347191319256
437.leslie3d,1.0,3200.0,0.923148303924527,0.9257119045617769
437.leslie3d,1.0,4800.0,0.9064044364510706,0.9129252525494721
437.leslie3d,1.0,6400.0,0.8985501107237952,0.9043728697408494
437.leslie3d,1.0,8000.0,0.8948947132579174,0.9004884557558664
437.leslie3d,1.0,8800.0,0.8942670220185606,0.9010655605042033
437.leslie3d,1.0,12800.0,0.8910423688816425,0.8976222160309278
437.leslie3d,1.0,17600.0,0.8900158643833622,0.8972790410643463
437.leslie3d,2.0,8000.0,0.9160900637027403,0.9261270246299076
437.leslie3d,2.0,8800.0,0.9160034700695862,0.9250872137016085
437.leslie3d,4.0,8000.0,0.9334439145283405,0.943682202267416
437.leslie3d,4.0,8800.0,0.9342688743204874,0.9444474680716318
437.leslie3d,8.0,8000.0,0.9495223517158334,0.9590536429817565
437.leslie3d,8.0,8800.0,0.9496871522503237,0.9591801359718326
437.leslie3d,16.0,8000.0,0.9669558846885498,0.9739830760614034
437.leslie3d,16.0,8800.0,0.9663863742547673,0.9738598876616185
444.namd,1.0,3200.0,0.9997532789008633,0.9997532393593086
444.namd,1.0,4800.0,0.9993026072140392,0.9993025370348939
444.namd,1.0,6400.0,0.9991364074422893,0.9993829925403598
444.namd,1.0,8000.0,0.9992600966362716,0.9997528133187281
444.namd,1.0,8800.0,0.9995114019754135,0.9997556412911155
444.namd,1.0,12800.0,0.9996295507558624,0.9997530139045895
444.namd,1.0,17600.0,0.999206266816476,0.9993301486171724
444.namd,2.0,8000.0,0.9994858895745791,0.9996091448033114
444.namd,2.0,8800.0,0.9996334619366732,0.999877775845753
444.namd,4.0,8000.0,0.9997533271651909,0.9998766483688472
444.namd,4.0,8800.0,0.9998777758476909,0.9998777609071214
444.namd,8.0,8000.0,0.9998766483698254,1.0
444.namd,8.0,8800.0,0.9996333275401659,0.9996333275401659
444.namd,16.0,8000.0,0.9998766331533022,0.9998766331533022
444.namd,16.0,8800.0,1.0,1.0
445.gobmk,1.0,3200.0,0.9889261912855807,0.9890303882546907
445.gobmk,1.0,4800.0,0.9868800996406678,0.9872005143537561
445.gobmk,1.0,6400.0,0.9868904698813588,0.9867826840597008
445.gobmk,1.0,8000.0,0.9860009794686907,0.9860009794686907
445.gobmk,1.0,8800.0,0.987099206182424,0.9870329783521538
445.gobmk,1.0,12800.0,0.9876119563690028,0.9880404031082338
445.gobmk,1.0,17600.0,0.9877772097158238,0.9877772097158238
445.gobmk,2.0,8000.0,0.9918098826212416,0.991808990489587
445.gobmk,2.0,8800.0,0.9913707798971845,0.9913707798971845
445.gobmk,4.0,8000.0,0.9933270807980444,0.9933270807980444
445.gobmk,4.0,8800.0,0.9928710536167011,0.9928710536167011
445.gobmk,8.0,8000.0,0.995317508359277,0.995317508359277
445.gobmk,8.0,8800.0,0.9951955903619985,0.9951955903619985
445.gobmk,16.0,8000.0,0.9969712868435059,0.9969712868435059
445.gobmk,16.0,8800.0,0.9970545751527353,0.9970545751527353
447.dealII,1.0,3200.0,0.9990186277528018,0.9990186277528018
447.dealII,1.0,4800.0,0.9990158619411468,0.9990158619411468
447.dealII,1.0,6400.0,0.9991388451617731,0.9991388451617731
447.dealII,1.0,8000.0,0.9990171102920944,0.9990171102920944
447.dealII,1.0,8800.0,0.9991008939652387,0.9991008939652387
447.dealII,1.0,12800.0,0.9989597556992371,0.9989595960462042
447.dealII,1.0,17600.0,0.9988866338756562,0.9988866338756562
447.dealII,2.0,8000.0,0.9993197557961814,0.9993197557961814
447.dealII,2.0,8800.0,0.9992545151537721,0.9992545151537721
447.dealII,4.0,8000.0,0.9995654983337233,0.9995654983337233
447.dealII,4.0,8800.0,0.9995121583580738,0.9995121583580738
447.dealII,8.0,8000.0,0.999630826720449,0.999630826720449
447.dealII,8.0,8800.0,0.9997253006903735,0.9996032956414995
447.dealII,16.0,8000.0,0.99963069037536,0.99963069037536
447.dealII,16.0,8800.0,0.9997559493982757,0.9998779598071467
450.soplex,1.0,3200.0,0.9255610506256747,0.9289888704873146
450.soplex,1.0,4800.0,0.9023974591672052,0.9098432545045911
450.soplex,1.0,6400.0,0.8919270305062004,0.8997526216134523
450.soplex,1.0,8000.0,0.8868878331146873,0.8947453226350593
450.soplex,1.0,8800.0,0.8877445686430159,0.8950796132910446
450.soplex,1.0,12800.0,0.8838646934103188,0.8913743780533694
450.soplex,1.0,17600.0,0.8814393368599862,0.8892110372928023
450.soplex,2.0,8000.0,0.9034035910194057,0.9112553949914629
450.soplex,2.0,8800.0,0.9039270107647035,0.911529473989119
450.soplex,4.0,8000.0,0.9147445716708315,0.9212910333486611
450.soplex,4.0,8800.0,0.9153864285278371,0.9215431071229
450.soplex,8.0,8000.0,0.9294247945621893,0.934645051243695
450.soplex,8.0,8800.0,0.9309259558060529,0.9353423180248048
450.soplex,16.0,8000.0,0.9479083398906427,0.9514098138558295
450.soplex,16.0,8800.0,0.9482737606266364,0.9520100700064984
456.hmmer,1.0,3200.0,0.96170500626272,0.9624014982621486
456.hmmer,1.0,4800.0,0.9611450608521469,0.9619498327013796
456.hmmer,1.0,6400.0,0.9609632462424482,0.9615773592931114
456.hmmer,1.0,8000.0,0.9602480875435185,0.9603047712812152
456.hmmer,1.0,8800.0,0.9612225124588166,0.9622936736365344
456.hmmer,1.0,12800.0,0.9597370885479756,0.9605422476304981
456.hmmer,1.0,17600.0,0.9593670174899273,0.9597340649864031
456.hmmer,2.0,8000.0,0.9785604831905125,0.9788403501046604
456.hmmer,2.0,8800.0,0.9766484254838198,0.9774251115431946
456.hmmer,4.0,8000.0,0.9843379677765892,0.9851349500622054
456.hmmer,4.0,8800.0,0.9854344368441526,0.9860293965192893
456.hmmer,8.0,8000.0,0.9874447362929067,0.9890693362332497
456.hmmer,8.0,8800.0,0.9885518511254162,0.9891596955370355
456.hmmer,16.0,8000.0,0.9918617500451469,0.9913384616962804
456.hmmer,16.0,8800.0,0.9924600094414607,0.9934848096044273
458.sjeng,1.0,3200.0,0.9878358982421606,0.9878358982421606
458.sjeng,1.0,4800.0,0.9878101935201334,0.9878101935201334
458.sjeng,1.0,6400.0,0.9883136696321574,0.9883136696321574
458.sjeng,1.0,8000.0,0.9876717494585002,0.9876717494585002
458.sjeng,1.0,8800.0,0.9870218577181975,0.9870218577181975
458.sjeng,1.0,12800.0,0.9872294450162491,0.9872294450162491
458.sjeng,1.0,17600.0,0.9867955113150837,0.9867955113150837
458.sjeng,2.0,8000.0,0.9909568267991516,0.9909568267991516
458.sjeng,2.0,8800.0,0.9907333107131766,0.9907333107131766
458.sjeng,4.0,8000.0,0.9934208985383868,0.9934208985383868
458.sjeng,4.0,8800.0,0.9938005027765195,0.9938005027765195
458.sjeng,8.0,8000.0,0.9952474292942449,0.9952474292942449
458.sjeng,8.0,8800.0,0.9943540677963206,0.9943540677963206
458.sjeng,16.0,8000.0,0.996851306434645,0.996851306434645
458.sjeng,16.0,8800.0,0.9962014381476139,0.9962014381476139
459.GemsFDTD,1.0,3200.0,0.881829913659865,0.8826924943313522
459.GemsFDTD,1.0,4800.0,0.8483074542524223,0.8500855248151706
459.GemsFDTD,1.0,6400.0,0.8367049229132766,0.838180978095758
459.GemsFDTD,1.0,8000.0,0.8325902735904303,0.8344394302182291
459.GemsFDTD,1.0,8800.0,0.8319052461536812,0.8336388303868929
459.GemsFDTD,1.0,12800.0,0.8284738539012543,0.8301975130186673
459.GemsFDTD,1.0,17600.0,0.8274456619404523,0.8293757872718669
459.GemsFDTD,2.0,8000.0,0.8495722047473325,0.851936723004267
459.GemsFDTD,2.0,8800.0,0.8494133749126931,0.8516804942834744
459.GemsFDTD,4.0,8000.0,0.865186451713754,0.8683698880148166
459.GemsFDTD,4.0,8800.0,0.8650118586502561,0.868352157523765
459.GemsFDTD,8.0,8000.0,0.8880685661078893,0.8918859911102182
459.GemsFDTD,8.0,8800.0,0.8885170443466398,0.8921123976626724
459.GemsFDTD,16.0,8000.0,0.91791352526361,0.9222104416411134
459.GemsFDTD,16.0,8800.0,0.9187309237760461,0.9220618072165289
462.libquantum,1.0,3200.0,0.9325846990721998,0.9714204004671954
462.libquantum,1.0,4800.0,0.913727509206084,0.97469882610668
462.libquantum,1.0,6400.0,0.9035086057236219,0.9752405135097364
462.libquantum,1.0,8000.0,0.8992567181279177,0.9785473359003558
462.libquantum,1.0,8800.0,0.9007566356310756,0.9767468342068639
462.libquantum,1.0,12800.0,0.8947447919922972,0.9763575856783548
462.libquantum,1.0,17600.0,0.8915495529667423,0.9751038426924826
462.libquantum,2.0,8000.0,0.926161854890491,0.9856824576189606
462.libquantum,2.0,8800.0,0.9272463477010446,0.985177932672585
462.libquantum,4.0,8000.0,0.9491255655997325,0.9927876597157844
462.libquantum,4.0,8800.0,0.9498650161096787,0.9920465986791197
462.libquantum,8.0,8000.0,0.9682474722127307,0.9928714304472208
462.libquantum,8.0,8800.0,0.9698681749581051,0.9921093730084137
462.libquantum,16.0,8000.0,0.9798667007619375,0.9939277511920542
462.libquantum,16.0,8800.0,0.9806203209147887,0.9936542727358411
464.h264ref,1.0,3200.0,0.9973661106166639,0.997540262758002
464.h264ref,1.0,4800.0,0.9971274499413058,0.997245664794116
464.h264ref,1.0,6400.0,0.9966961541824159,0.9968147834032464
464.h264ref,1.0,8000.0,0.9966722925757524,0.9967905232661409
464.h264ref,1.0,8800.0,0.9967700014757802,0.9968872817477725
464.h264ref,1.0,12800.0,0.9964233163964556,0.9966609286698335
464.h264ref,1.0,17600.0,0.9960178587062855,0.996137172173958
464.h264ref,2.0,8000.0,0.9982083419839809,0.9983275452134812
464.h264ref,2.0,8800.0,0.9972612213744058,0.9973793221838196
464.h264ref,4.0,8000.0,0.9985777302481982,0.9985777302481982
464.h264ref,4.0,8800.0,0.9986280368285161,0.9987465809939231
464.h264ref,8.0,8000.0,0.9985622999518937,0.9984425942297178
464.h264ref,8.0,8800.0,0.9988819120842499,0.9988819120842499
464.h264ref,16.0,8000.0,0.999398289681763,0.99951813860339
464.h264ref,16.0,8800.0,0.9991649660542057,0.9992837364566208
470.lbm,1.0,3200.0,0.9082758185868821,0.9105066437856392
470.lbm,1.0,4800.0,0.8793867740925794,0.881432206784063
470.lbm,1.0,6400.0,0.8672212040027941,0.8697460885241829
470.lbm,1.0,8000.0,0.8622724014656924,0.8653690863885583
470.lbm,1.0,8800.0,0.862468504970308,0.8651138805715891
470.lbm,1.0,12800.0,0.8581708180754395,0.860916977027622
470.lbm,1.0,17600.0,0.853892359143025,0.857090568268171
470.lbm,2.0,8000.0,0.8795362343824664,0.883872997007545
470.lbm,2.0,8800.0,0.8831925619533464,0.8877325876970095
470.lbm,4.0,8000.0,0.8836577554655587,0.8911164006584227
470.lbm,4.0,8800.0,0.8912890082911067,0.8989216092670427
470.lbm,8.0,8000.0,0.8892687624190819,0.8980888448189815
470.lbm,8.0,8800.0,0.8972743162502639,0.9068555760901209
470.lbm,16.0,8000.0,0.9092762295047511,0.9195445276394307
470.lbm,16.0,8800.0,0.917737834568888,0.9275285479080468
471.omnetpp,1.0,3200.0,0.9119829857752919,0.9127331581979659
471.omnetpp,1.0,4800.0,0.8831104358748951,0.8839509785551499
471.omnetpp,1.0,6400.0,0.876820391286057,0.8772688142260011
471.omnetpp,1.0,8000.0,0.8744511979058617,0.8751892869746528
471.omnetpp,1.0,8800.0,0.8750410389687809,0.8754332921806189
471.omnetpp,1.0,12800.0,0.8737925867121926,0.874503482952189
471.omnetpp,1.0,17600.0,0.8717928443256896,0.8722176157975046
471.omnetpp,2.0,8000.0,0.8799018014707616,0.8805424885887033
471.omnetpp,2.0,8800.0,0.8802190432073634,0.8807375462484439
471.omnetpp,4.0,8000.0,0.8866179296945449,0.8869129221543538
471.omnetpp,4.0,8800.0,0.8868117851484949,0.8864441070470443
471.omnetpp,8.0,8000.0,0.8949603244016683,0.895299115841549
471.omnetpp,8.0,8800.0,0.8955477098056782,0.8958523785612518
471.omnetpp,16.0,8000.0,0.9072699879308568,0.9079194687795699
471.omnetpp,16.0,8800.0,0.9086676535738185,0.9084906027525265
473.astar,1.0,3200.0,0.8851584616838283,0.885058701866838
473.astar,1.0,4800.0,0.8767954895947814,0.876323995718331
473.astar,1.0,6400.0,0.8710082781004876,0.8709135426258183
473.astar,1.0,8000.0,0.868481470374099,0.8687268030262943
473.astar,1.0,8800.0,0.8690034794661382,0.8691620596758176
473.astar,1.0,12800.0,0.8660895435352642,0.8657390397096826
473.astar,1.0,17600.0,0.8620980488045545,0.8619338131289838
473.astar,2.0,8000.0,0.8868291576874103,0.8868641464923035
473.astar,2.0,8800.0,0.8875183639042159,0.8875820481415027
473.astar,4.0,8000.0,0.9095701607611577,0.9095712220611021
473.astar,4.0,8800.0,0.9102210561353847,0.9102159635439973
473.astar,8.0,8000.0,0.9308518929190889,0.931142687457062
473.astar,8.0,8800.0,0.9315798429878759,0.9318002125744017
473.astar,16.0,8000.0,0.9528394458750892,0.9528365983490781
473.astar,16.0,8800.0,0.9536277966879013,0.953855882771218
481.wrf,1.0,3200.0,0.9993820972789382,0.9994406952765067
481.wrf,1.0,4800.0,0.9993194316831826,0.9993821724750489
481.wrf,1.0,6400.0,0.9993820126862188,0.9994775686846418
481.wrf,1.0,8000.0,0.9993821737729711,0.9994576213083515
481.wrf,1.0,8800.0,0.9992961749922495,0.9993192031537151
481.wrf,1.0,12800.0,0.9993467227078567,0.9993200869231421
481.wrf,1.0,17600.0,0.9992266686483747,0.9991488695122643
481.wrf,2.0,8000.0,0.9995060634529834,0.9995344833767118
481.wrf,2.0,8800.0,0.9995488788868867,0.9995953151327137
481.wrf,4.0,8000.0,0.999694876221316,0.9997159616284985
481.wrf,4.0,8800.0,0.9997387306017891,0.9996711625723703
481.wrf,8.0,8000.0,0.9997813662043152,0.9998394272615425
